OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId
1,01,Schleswig-Holstein,Land,2910875,15,94393,2021/11/25 23:00:00+00,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,3242.77064456564,45737314116.8701,2881496.1295035,1783,152.84064070082,4449,5,"152,8",1
2,02,Hamburg,Freie und Hansestadt,1852478,6,111477,2021/11/25 23:00:00+00,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,6017.72328740206,2089396054.82129,418800.187474072,1885,200.380247430739,3712,5,"200,4",2
3,03,Niedersachsen,Land,8003421,9,366887,2021/11/25 23:00:00+00,03,3fd77024-c29b-4843-9be8-682ad48e60c9,4584.12721260071,129983613598.973,4008988.2951652,6304,201.188966568171,16102,7,"201,2",3
4,04,Bremen,Freie Hansestadt,680130,5,38909,2021/11/25 23:00:00+00,04,4132268b-54de-4327-ac1e-760e915112f1,5720.81807889668,1119156745.43408,335717.737774516,546,219.369826356726,1492,2,"219,4",4
5,05,Nordrhein-Westfalen,Land,17925570,10,1146385,2021/11/25 23:00:00+00,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,6395.24991394974,87829361998.0295,2648672.50917441,18853,274.211642921257,49154,26,"274,2",5
6,06,Hessen,Land,6293154,7,404451,2021/11/25 23:00:00+00,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,6426.84097671851,52359125900.6655,2148243.6201819,8102,268.339214327188,16887,17,"268,3",6
7,07,Rheinland-Pfalz,Land,4098391,11,225676,2021/11/25 23:00:00+00,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,5506.45363021732,47838767393.1633,1774430.12830596,4251,288.259465726916,11814,10,"288,3",7
8,08,Baden-Württemberg,Land,11103043,1,796846,2021/11/25 23:00:00+00,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,7176.82530816101,81517323536.8628,2544320.39805124,11622,489.937758504583,54398,22,"489,9",8
9,09,Bayern,Freistaat,13140183,2,1090216,2021/11/25 23:00:00+00,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,8296.80986939071,163485540875.077,3898617.90542911,17304,652.547989628455,85746,68,"652,5",9
10,10,Saarland,Land,983991,12,59246,2021/11/25 23:00:00+00,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,6020.99002938035,6060691818.01318,562678.876124348,1106,438.825151856064,4318,3,"438,8",10
11,11,Berlin,Land,3664088,3,267867,2021/11/25 23:00:00+00,11,c7033073-2bb0-486b-97af-5b3c639e7219,7310.60498546978,2402458320.59863,363979.182407356,3814,357.032909689942,13082,6,"357,0",11
12,12,Brandenburg,Land,2531071,4,168187,2021/11/25 23:00:00+00,12,b560af89-5895-4be4-96f8-0f581cd8a858,6644.89459205214,79801970800.2686,2571385.42188057,4077,663.55309669306,16795,9,"663,6",12
13,13,Mecklenburg-Vorpommern,Land,1610774,8,67467,2021/11/25 23:00:00+00,13,a27f5628-e790-45be-898d-f0a6841c0f7e,4188.48330057476,65873523064.0757,4131181.10875485,1315,373.236717255183,6012,5,"373,2",13
14,14,Sachsen,Freistaat,4056941,13,463881,2021/11/25 23:00:00+00,14,256d2405-a7c8-4fec-93df-29f3c808cd25,11434.2555141916,46626497892.9951,2048279.98573376,10835,1192.8445594846,48393,10,"1192,8",14
15,15,Sachsen-Anhalt,Land,2180684,14,147710,2021/11/25 23:00:00+00,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,6773.56279039054,54177007537.6553,1920386.52842308,3762,686.848713522913,14978,33,"686,8",15
16,16,Thüringen,Freistaat,2120237,16,200572,2021/11/25 23:00:00+00,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,9459.88585238348,40685205073.9761,2015719.49965031,4917,805.711814292459,17083,39,"805,7",16
